Row Labels,Flags,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,https://www.countryflags.io/ar/flat/64.png,"6,486","5,828","11,205","12,519","13,838","18,799","17,4","18,6","21,7","25,8","29,9","30,5","29,9","32,6","38,4","30,9","39,06","23,947","29,062","35,572","22,785","33,015","40,804","41,478","46,5","41,385","45,303","31,806","49,575","50,505","46,075","46,408","54,73","50,993","51,481","47,064","54,125","57,148","55,8","74,256","71,117","70,457","69,866","70,389","67,871","72,129",76,"80,142","71,715","92,417","92,892","82,813","80,423","82,628","82,492","85,015","81,476","81,981"
Azerbaijan,https://www.countryflags.io/az/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,6",24,"19,4","9,41","3,03","1,634",863,"2,73","1,082","1,424","1,44",944,"1,048",737,655,484,323,447,545,534,568,568,474,579,"1,016",775,869
Bangladesh,https://www.countryflags.io/bd/flat/64.png,"26,542","23,387","24,599","28,233","26,592","28,6","29,3","28,5","30,318","31,295","12,007","24,068","27,216","32,169","29,388","34,097","37,022","38,305","36,61","39,708","38,772","40,937","42,202","37,9","43,285",38,"37,595","40,611","43,581","39,075","45,012","45,632","48,9","50,515",52,"47,675","53,31","50,575",56,46,52,58,"57,5","57,58","57,58",58,"58,5",59,"59,5",60,"60,5","62,524","66,259","63,78","66,101","64,5","81,85","78,15"
Bolivia,https://www.countryflags.io/bo/flat/64.png,100,100,110,115,120,130,128,176,225,500,627,580,570,570,650,"1,13","1,1","1,455","1,566","1,44",640,480,200,290,320,335,390,430,440,500,540,550,590,675,690,710,735,735,810,840,840,850,850,847,866,872,889,904,"1,245","1,339","1,356","1,358","1,339","1,196","1,243","1,251","1,177","1,192"
Brazil,https://www.countryflags.io/br/flat/64.png,5,"5,044","6,133","6,231","6,228","3,365","3,512","3,854","4,586","5,848","6,547","6,568","6,471","6,445","7,681","7,82","7,741","9,196","9,398","9,707","10,081","11,272","9,196","10,703","10,823","12,13","12,168","9,521","9,838","9,813","10,389","6,019","10,587","9,807","8,607","6,181","6,156","5,807","7,02","8,4","8,337","8,687","5,559","5,347","4,473","4,052","1,083","4,752","4,686","4,278","3,52","1,496",763,"1,421",633,459,459,483
Burundi,https://www.countryflags.io/bi/flat/64.png,,,,,,,18,79,92,147,325,487,656,829,819,"1,278","1,457","1,431","1,612","1,454","2,271","2,178","2,334","3,445","4,145","3,598","4,382","3,721","3,862","4,04","5,323","5,952","5,52","6,864","6,985","5,648","4,169","6,669","6,865","34,06","44,4","33,234","35,225","37,523","39,335","30,836","33,676","31,787","31,828","37,875","40,853","42,147","41,817","53,893","53,802","52,701","49,28","53,603"
Cameroon,https://www.countryflags.io/cm/flat/64.png,83,136,242,341,517,650,750,"1,071",978,"1,028","1,11","1,296","1,471",935,"1,572","1,003","1,73","1,8","2,107","1,882","2,131","1,8","2,104","2,279","2,114","2,516","2,564","2,5","2,452","2,9",3,"3,416","3,902","3,567","3,873","3,581","4,19","3,944","4,597","4,004","4,2",4,"3,401",4,"4,381","4,68","4,901","5,122",6,"5,514","5,226","5,268","5,342","5,487","5,625","5,641","5,71","5,779"
China,https://www.countryflags.io/cn/flat/64.png,"97,064","93,753","105,104","110,306","121,33","127,51","137,403","142,418","148,248","163,468","179,984","196,229","210,639","222,173","237,092","258,258","278,403","293,854","304,155","328,479","368,223","421,051","424,858","438,365","455,54","484,358","534,578","568,973","557,006","562,369","562,961","579,991","620,515","612,953","609,392","616,517","636,871","687,675","696,99","703,673","721,536","765,719","788,815","855,422","953,66","1,047,345","1,183,002","1,274,984","1,375,780","1,467,467","1,640,310","1,804,655","1,939,175","2,110,770","2,291,405","2,326,018","2,473,443","2,625,138"
Taiwan,https://www.countryflags.io/TW/flat/64.png,"18,064","19,753","21,104","18,306","20,73","21,51","24,403","24,418","26,248","27,468","26,984","26,229","28,639","24,173","26,092","24,758","26,303","25,854","27,055","24,479","25,223","24,051","24,308","24,365","23,203","23,89","25,578","23,557","22,13","22,299","21,38","20,164","20,515","24,485","20,892","23,131","23,505","22,641","21,119","20,349","19,837","20,345","20,675","20,192","18,803","19,345","17,502","17,384","16,78","17,467","17,31","14,902","14,718","15,2","14,405","13,018","13,443","14,738"
Colombia,https://www.countryflags.io/co/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,72,120,120,120,120,120,120,120,120,134,134,134,134,125,144,149,149,149,153
